zz,zz500ratio
2019/9/30,-1.29
2019/10/8,0.02
2019/10/9,0.83
2019/10/10,1.27
2019/10/11,0.18
2019/10/14,1.5
2019/10/15,-1.37
2019/10/16,-0.45
2019/10/17,-0.17
2019/10/18,-1.35
2019/10/21,-0.22
2019/10/22,1.1
2019/10/23,-0.77
2019/10/24,-0.18
2019/10/25,0.73
2019/10/28,1.8
2019/10/29,-1.51
2019/10/30,-1.19
2019/10/31,-0.62
2019/11/1,0.91
2019/11/4,0.51
2019/11/5,0.75
2019/11/6,-1.01
2019/11/7,0.65
2019/11/8,-0.37
2019/11/11,-2.25
2019/11/12,0.11
2019/11/13,-0.12
2019/11/14,0.75
2019/11/15,-0.89
2019/11/18,0.49
2019/11/19,1.69
2019/11/20,-0.58
2019/11/21,-0.01
2019/11/22,-0.84
2019/11/25,-0.05
2019/11/26,-0.39
2019/11/27,0.45
2019/11/28,-0.31
2019/11/29,0.12
2019/12/2,0.21
2019/12/3,0.43
2019/12/4,-0.12
2019/12/5,0.95
2019/12/6,0.86
2019/12/9,0.28
2019/12/10,0.49
2019/12/11,-0.43
2019/12/12,-0.3
2019/12/13,1.23
2019/12/16,1.82
2019/12/17,1.36
2019/12/18,-0.02
2019/12/19,0.13
2019/12/20,-1.09
2019/12/23,-1.94
2019/12/24,1.53
2019/12/25,0.41
2019/12/26,0.7
2019/12/27,-0.77
2019/12/30,1.21
2019/12/31,0.49
2020/1/2,1.87
2020/1/3,0.27
2020/1/6,1.01
2020/1/7,1.2
2020/1/8,-1.38
2020/1/9,1.36
2020/1/10,-0.32
2020/1/13,1.45
2020/1/14,-0.31
2020/1/15,-0.22
2020/1/16,-0.04
2020/1/17,-0.32
2020/1/20,1.41
2020/1/21,-1.14
2020/1/22,0.93
2020/1/23,-3.55
2020/2/3,-8.68
2020/2/4,1.74
2020/2/5,2.55
2020/2/6,3.1
2020/2/7,0.84
2020/2/10,1.15
2020/2/11,-0.5
2020/2/12,1.84
2020/2/13,-0.86
2020/2/14,0.15
2020/2/17,3.2
2020/2/18,1.19
2020/2/19,-1.02
2020/2/20,1.85
2020/2/21,1.35
2020/2/24,1.41
2020/2/25,0.55
2020/2/26,-2.62
2020/2/27,0.18
2020/2/28,-5.26
2020/3/2,3.76
2020/3/3,0.95
2020/3/4,0.11
2020/3/5,1.48
2020/3/6,-0.64
2020/3/9,-4.13
2020/3/10,2.7
2020/3/11,-1.51
2020/3/12,-1.71
2020/3/13,-0.67
2020/3/16,-4.71
2020/3/17,0.23
2020/3/18,-1.78
2020/3/19,0.75
2020/3/20,1.19
2020/3/23,-4.22
2020/3/24,1.94
2020/3/25,2.38
2020/3/26,-0.98
2020/3/27,-0.56
2020/3/30,-2.14
2020/3/31,0.28
2020/4/1,-0.44
2020/4/2,2.55
2020/4/3,-0.78
2020/4/7,3.13
2020/4/8,0.09
2020/4/9,0.96
2020/4/10,-2.14
2020/4/13,-0.76
2020/4/14,2.31
2020/4/15,-0.38
2020/4/16,0.92
2020/4/17,0.03
2020/4/20,1.19
2020/4/21,-0.7
2020/4/22,0.82
2020/4/23,-0.55
2020/4/24,-1.57
2020/4/27,-0.15
2020/4/28,-0.72
2020/4/29,-0.02
2020/4/30,2.43
2020/5/6,1.82
2020/5/7,-0.1
2020/5/8,1.14
2020/5/11,-0.21
2020/5/12,0.3
2020/5/13,0.43
2020/5/14,-0.89
2020/5/15,0.38
2020/5/18,-0.53
2020/5/19,1.26
2020/5/20,-1.05
2020/5/21,-1.16
2020/5/22,-1.81
2020/5/25,-0.22
2020/5/26,1.95
2020/5/27,-0.94
2020/5/28,-0.16
2020/5/29,0.84
2020/6/1,3.02
2020/6/2,-0.05
2020/6/3,0.11
2020/6/4,0.08
2020/6/5,0.16
2020/6/8,-0.18
2020/6/9,0.63
2020/6/10,0.09
2020/6/11,-0.47
2020/6/12,0.04
2020/6/15,-0.02
2020/6/16,1.87
2020/6/17,0.7
2020/6/18,-0.02
2020/6/19,0.92
2020/6/22,-0.05
2020/6/23,0.35
2020/6/24,-0.26
2020/6/29,-0.46
2020/6/30,1.77
2020/7/1,0.3
2020/7/2,1.59
2020/7/3,1.28
2020/7/6,4.1
2020/7/7,1.27
2020/7/8,2.44
2020/7/9,2.42
2020/7/10,-0.26
2020/7/13,3.34
2020/7/14,-1.33
2020/7/15,-2.48
2020/7/16,-4.8
2020/7/17,0.39
2020/7/20,2.87
2020/7/21,0.56
2020/7/22,0.87
2020/7/23,-0.01
2020/7/24,-5.08
2020/7/27,0.23
2020/7/28,0.97
2020/7/29,2.68
2020/7/30,-0.29
2020/7/31,1.05
2020/8/3,2.43
2020/8/4,-0.62
2020/8/5,1.12
2020/8/6,-0.04
2020/8/7,-1.2
2020/8/10,0.54
2020/8/11,-1.85
2020/8/12,-1.1
2020/8/13,0.37
2020/8/14,1.08
2020/8/17,1.83
2020/8/18,0.67
2020/8/19,-1.81
2020/8/20,-1.09
2020/8/21,0.76
2020/8/24,0.68
2020/8/25,-0.54
2020/8/26,-1.9
2020/8/27,0.81
2020/8/28,1.71
2020/8/31,-0.34
2020/9/1,0.63
2020/9/2,0.11
2020/9/3,-0.82
2020/9/4,-0.66
2020/9/7,-2.11
2020/9/8,0.71
2020/9/9,-2.7
2020/9/10,-1.79
2020/9/11,1.23
2020/9/14,0.62
2020/9/15,0.58
2020/9/16,-0.53
2020/9/17,0.21
2020/9/18,1.61
2020/9/21,-0.36
2020/9/22,-1.35
2020/9/23,0.53
2020/9/24,-2.31
2020/9/25,-0.12
2020/9/28,-0.94
2020/9/29,0.81
2020/9/30,-0.58
2020/10/9,2.67
2020/10/12,2.88
2020/10/13,0.16
2020/10/14,-0.66
2020/10/15,-0.74
2020/10/16,-0.49
2020/10/19,-1.09
2020/10/20,1.02
2020/10/21,-1.14
2020/10/22,-0.52
2020/10/23,-1.64
2020/10/26,0.02
2020/10/27,0.11
2020/10/28,0.4
2020/10/29,0.15
2020/10/30,-2.3
2020/11/2,0.52
2020/11/3,1.61
2020/11/4,-0.12
2020/11/5,1.89
2020/11/6,-0.8
2020/11/9,1.91
2020/11/10,-0.76
2020/11/11,-1.23
2020/11/12,0.33
2020/11/13,-0.14
2020/11/16,1.27
2020/11/17,-0.79
2020/11/18,0.06
2020/11/19,0.31
2020/11/20,0.98
2020/11/23,0.78
2020/11/24,0.03
2020/11/25,-1.93
2020/11/26,-0.25
2020/11/27,0.27
2020/11/30,-0.48
2020/12/1,1.67
2020/12/2,0.13
2020/12/3,0.09
2020/12/4,0.37
2020/12/7,-0.62
2020/12/8,-0.02
2020/12/9,-1.81
2020/12/10,0.2
2020/12/11,-1.75
2020/12/14,0.8
2020/12/15,0.1
2020/12/16,-0.48
2020/12/17,1.18
2020/12/18,-0.27
2020/12/21,1.7
2020/12/22,-2.32
2020/12/23,0.92
2020/12/24,-1.62
2020/12/25,1.18
2020/12/28,-0.54
2020/12/29,-0.71
2020/12/30,1.12
2020/12/31,1.56
2021/1/4,1.82
2021/1/5,0.88
2021/1/6,-0.18
2021/1/7,0.15
2021/1/8,0.3
2021/1/11,-1.56
2021/1/12,1.36
2021/1/13,-0.71
2021/1/14,-0.88
2021/1/15,-0.35
2021/1/18,1.51
2021/1/19,-0.58
2021/1/20,0.91
2021/1/21,1.33
2021/1/22,0.23
2021/1/25,0.11
2021/1/26,-1.69
2021/1/27,0.37
2021/1/28,-2.18
2021/1/29,-1.06
2021/2/1,0.74
2021/2/2,0.96
2021/2/3,-0.86
2021/2/4,-1.1
2021/2/5,-1.41
2021/2/8,1.33
2021/2/9,2.13
2021/2/10,1.04
2021/2/18,1.37
2021/2/19,1.34
2021/2/22,-0.69
2021/2/23,-0.39
2021/2/24,-1.43
2021/2/25,-0.57
2021/2/26,-2.07
2021/3/1,1.95
2021/3/2,-0.85
2021/3/3,1.42
2021/3/4,-1.88
2021/3/5,0.02
2021/3/8,-2.3
2021/3/9,-2.37
2021/3/10,-0.75
2021/3/11,2.5
2021/3/12,0.14
2021/3/15,-0.78
2021/3/16,0.35
2021/3/17,0.49
2021/3/18,0.78
2021/3/19,-1.07
2021/3/22,1.6
2021/3/23,-1.37
2021/3/24,-1.23
2021/3/25,0.24
2021/3/26,1.53
2021/3/29,0.05
2021/3/30,0.41
2021/3/31,-0.42
2021/4/1,0.92
2021/4/2,0.24
2021/4/6,0.26
2021/4/7,0.08
2021/4/8,0.14
2021/4/9,-0.34
2021/4/12,-1.72
2021/4/13,-0.27
2021/4/14,1.09
2021/4/15,-0.01
2021/4/16,1.01
2021/4/19,1.35
2021/4/20,0.05
2021/4/21,-0.13
2021/4/22,0.39
2021/4/23,0.27
2021/4/26,-0.31
2021/4/27,0.06
2021/4/28,0.67
2021/4/29,0.03
2021/4/30,-0.1
2021/5/6,0.06
2021/5/7,-0.69
2021/5/10,0.49
2021/5/11,-0.31
2021/5/12,0.87
2021/5/13,-1.12
2021/5/14,1.35
2021/5/17,0.8
2021/5/18,0.33
2021/5/19,-0.23
2021/5/20,-0.54
2021/5/21,-0.32
2021/5/24,0.25
2021/5/25,1.15
2021/5/26,0.13
2021/5/27,0.86
2021/5/28,-0.26
2021/5/31,0.91
2021/6/1,0.16
2021/6/2,-0.87
2021/6/3,-0.21
2021/6/4,0.38
2021/6/7,0.43
2021/6/8,-0.55
2021/6/9,0.12
2021/6/10,1.09
2021/6/11,-0.59
2021/6/15,-0.93
2021/6/16,-1.46
2021/6/17,0.76
2021/6/18,0.63
2021/6/21,0.74
2021/6/22,0.49
2021/6/23,0.74
2021/6/24,-0.52
2021/6/25,0.87
2021/6/28,0.22
2021/6/29,-0.92
2021/6/30,0.63
2021/7/1,-1.34
2021/7/2,-0.87
2021/7/5,0.8
2021/7/6,-0.02
2021/7/7,0.81
2021/7/8,-0.23
2021/7/9,0.83
2021/7/12,1.47
2021/7/13,0.83
2021/7/14,-0.91
2021/7/15,0.49
2021/7/16,-0.11
2021/7/19,-0.52
2021/7/20,0.17
2021/7/21,1.21
2021/7/22,0.6
2021/7/23,-0.58
2021/7/26,-1.68
2021/7/27,-2.17
2021/7/28,-1.45
2021/7/29,2.07
2021/7/30,0.12
2021/8/2,1.55
2021/8/3,-0.81
2021/8/4,1.69
2021/8/5,-0.28
2021/8/6,0.39
2021/8/9,0.59
2021/8/10,0.57
2021/8/11,0.77
2021/8/12,0.31
2021/8/13,-0.09
2021/8/16,-0.51
2021/8/17,-2.24
2021/8/18,0.68
2021/8/19,0.09
2021/8/20,-0.39
2021/8/23,1.51
2021/8/24,0.94
2021/8/25,0.88
2021/8/26,-0.48
2021/8/27,0.86
2021/8/30,0.65
2021/8/31,0.39
2021/9/1,-0.86
2021/9/2,1.58
2021/9/3,-0.39
2021/9/6,1.05
2021/9/7,1.95
2021/9/8,0.6
2021/9/9,0.97
2021/9/10,-0.13
2021/9/13,0.54
2021/9/14,-1.2
2021/9/15,0.47
2021/9/16,-1.91
2021/9/17,-0.69
2021/9/22,0.79
2021/9/23,0.66
2021/9/24,-1.63
2021/9/27,-2.84
2021/9/28,0.39
2021/9/29,-2.62
